Date,UMD
11/3/1926,0.57
11/4/1926,-0.52
11/5/1926,1.15
11/6/1926,-0.04
11/8/1926,-0.01
11/9/1926,0.17
11/10/1926,0.28
11/11/1926,-0.93
11/12/1926,-0.31
11/13/1926,0.39
11/15/1926,-0.06
11/16/1926,-0.06
11/17/1926,0.12
11/18/1926,0.53
11/19/1926,0.23
11/20/1926,-0.37
11/22/1926,-0.11
11/23/1926,0.56
11/24/1926,-0.43
11/26/1926,-0.21
11/27/1926,0.37
11/29/1926,-0.09
11/30/1926,0.16
12/1/1926,-0.09
12/2/1926,-0.05
12/3/1926,-0.52
12/4/1926,0.06
12/6/1926,0.18
12/7/1926,0.27
12/8/1926,0.19
12/9/1926,-0.54
12/10/1926,0.01
12/11/1926,-0.48
12/13/1926,-0.77
12/14/1926,0.59
12/15/1926,-0.3
12/16/1926,-0.03
12/17/1926,0.11
12/18/1926,-0.27
12/20/1926,0.71
12/21/1926,0.48
12/22/1926,0.04
12/23/1926,0.42
12/24/1926,0.26
12/27/1926,0.24
12/28/1926,0.33
12/29/1926,-0.14
12/30/1926,-0.03
12/31/1926,-0.69
1/3/1927,0.03
1/4/1927,-0.19
1/5/1927,-0.48
1/6/1927,-0.15
1/7/1927,0.64
1/8/1927,-0.51
1/10/1927,0.18
1/11/1927,0.22
1/12/1927,0.34
1/13/1927,0.24
1/14/1927,0.52
1/15/1927,0.87
1/17/1927,-0.01
1/18/1927,-0.26
1/19/1927,-0.5
1/20/1927,0.15
1/21/1927,0.33
1/22/1927,0.79
1/24/1927,0.2
1/25/1927,-0.38
1/26/1927,0.35
1/27/1927,-0.29
1/28/1927,0.37
1/29/1927,0.52
1/31/1927,0.47
2/1/1927,-0.14
2/2/1927,-0.17
2/3/1927,0.53
2/4/1927,-0.68
2/5/1927,0.02
2/7/1927,-0.46
2/8/1927,-0.25
2/9/1927,-0.36
2/10/1927,-0.07
2/11/1927,-0.07
2/14/1927,0.49
2/15/1927,0.25
2/16/1927,0.42
2/17/1927,0.77
2/18/1927,0.28
2/19/1927,-0.4
2/21/1927,-0.01
2/23/1927,0.21
2/24/1927,-0.06
2/25/1927,-0.46
2/26/1927,0.06
2/28/1927,0.29
3/1/1927,0.2
3/2/1927,-0.23
3/3/1927,0.75
3/4/1927,-0.31
3/5/1927,0.06
3/7/1927,0.27
3/8/1927,-0.02
3/9/1927,0.41
3/10/1927,0.41
3/11/1927,0.58
3/12/1927,-0.62
3/14/1927,0.52
3/15/1927,-0.15
3/16/1927,1.07
3/17/1927,0.13
3/18/1927,-0.25
3/19/1927,0.09
3/21/1927,0.25
3/22/1927,-0.57
3/23/1927,-0.13
3/24/1927,0.96
3/25/1927,0.12
3/26/1927,-0.51
3/28/1927,0.48
3/29/1927,0.5
3/30/1927,0.69
3/31/1927,-0.15
4/1/1927,0.43
4/2/1927,-0.19
4/4/1927,0.94
4/5/1927,0.3
4/6/1927,0.01
4/7/1927,-0.21
4/8/1927,0.92
4/9/1927,0.91
4/11/1927,-0.16
