,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,cash
2003-01-02,32067.0,39346.56,108847.2,108254.56,109712.4,106436.16,107136.2,57464.08,28608.14,308566.182242
2003-01-03,63119.25,63477.64,109038.16,108408.04,110559.6,106331.4,108499.95,106756.25,106372.2,125718.573173
2003-01-06,108759.28,108656.64,108360.2,107935.38,108071.04,108569.05,108861.3,108782.1,108391.2,51402.672625
2003-01-07,107169.7,107348.36,107157.29,107171.66,107564.27,107572.89,107818.48,107164.8,106903.65,51112.3299451
2003-01-08,106562.89,106339.24,106283.55,106407.0,105783.8,106533.05,106363.22,106344.96,105795.0,50434.7542285
2003-01-09,108030.13,108125.6,107799.65,108107.1,107369.15,107553.6,108176.85,107938.96,107874.4,50907.1308881
2003-01-10,107992.5,107379.49,107841.5,108633.91,107841.72,107581.11,107930.16,107729.16,107439.92,51005.9497766
2003-01-13,107438.08,108277.45,107125.65,108111.38,106020.25,108356.16,107924.45,107669.83,106803.92,51106.94448
2003-01-14,107942.1,107450.2,108751.25,107869.63,107925.23,107932.5,108176.4,108004.26,108178.43,50842.478967
2003-01-15,106685.04,108015.57,106822.13,105989.66,106552.68,106862.88,107709.84,106624.0,106409.52,50767.8237205
2003-01-16,107488.7,107426.18,106163.2,106518.11,105158.24,108594.09,106365.6,106104.96,106539.59,51022.8799272
2003-01-17,105452.37,105662.24,105591.0,105696.56,104333.04,105862.0,105941.25,106123.6,105663.75,50238.4727787
2003-01-21,103569.0,104724.2,103922.16,103231.47,104025.6,104192.0,103293.6,104264.4,103121.44,49922.187867
2003-01-22,101725.14,105127.12,102364.08,102448.14,102369.33,102139.62,104297.65,103215.01,102033.75,48974.5902601
2003-01-23,103870.8,103595.8,104509.44,104961.35,104414.2,102366.22,104598.0,103415.13,104643.6,49028.7074791
2003-01-24,100381.6,101739.04,101430.4,101621.12,100352.48,101560.19,102169.34,101384.64,100907.17,48543.3340011
2003-01-27,98996.52,98411.52,99265.5,99626.56,99026.4,99799.33,98258.0,99948.42,99635.98,47616.7720154
2003-01-28,99935.44,100569.0,100631.34,100672.64,100051.84,100614.71,101200.4,101447.5,100841.2,47356.6137476
2003-01-29,101166.35,102459.68,101471.4,101858.46,102065.46,99882.88,100620.45,101901.73,102394.8,47153.3477733
2003-01-30,99870.75,98398.74,99766.8,98942.24,98222.36,99556.08,99493.0,99583.66,98921.52,47731.9754456
2003-01-31,100941.75,102406.08,99744.3,100037.35,100192.73,101423.16,100164.55,100812.6,99993.84,47236.0907084
2003-02-03,100548.0,101556.0,100969.26,100694.88,101246.93,101347.19,101012.4,100472.55,100441.6,47740.3359414
2003-02-04,100291.78,101704.2,99981.25,100316.3,99192.26,100297.24,99567.11,100175.88,99566.64,47210.6563403
2003-02-05,99593.62,99255.18,99260.77,99584.0,99060.36,99705.6,99563.46,99919.08,99370.16,47659.6798739
2003-02-06,98927.15,99077.22,98488.0,97219.0,99140.41,99250.5,98041.82,99304.2,99062.8,46775.9765574
2003-02-07,97745.7,98656.76,97924.38,97515.54,97352.45,98530.24,97736.43,98649.9,96328.5,47017.9722174
2003-02-10,98760.2,98836.01,98758.4,98418.78,99410.78,98869.5,97595.44,99350.2,98271.42,46489.8119639
2003-02-11,97495.44,97792.2,96827.71,97999.02,97900.53,97094.55,96872.61,97765.32,98851.78,46964.9943826
2003-02-12,97282.8,96300.0,95991.99,96927.93,96101.55,97030.06,94802.42,96824.48,97452.33,46305.6410158
2003-02-13,96784.0,95584.96,96308.4,95918.08,96297.52,96398.5,98492.46,96417.45,96081.77,45562.5088328
2003-02-14,96867.36,97492.78,98646.94,98363.0,99029.52,97917.0,97337.8,97608.6,99267.0,45903.0026291
2003-02-18,99809.24,100258.2,99409.68,98900.1,100419.15,99327.44,99949.72,99869.0,100261.14,47026.6480236
2003-02-19,99119.4,99355.41,100076.76,98983.0,99439.84,99279.51,98999.04,99329.54,98937.56,47166.1362686
2003-02-20,98364.63,98726.95,98679.64,98344.0,97254.75,98646.24,99343.17,98341.56,97980.57,47067.4061085
2003-02-21,99930.11,99679.32,99835.47,100809.22,100344.25,99184.3,98712.0,99549.4,100765.8,46711.1405632
